,nitrogen_kg_per_ha_SE,phosphate_kg_per_ha_SE,potassium_kg_per_ha_SE,herbicide_kg_per_ha_SE,diesel_planting_L_per_ha_SE,lubricants_planting_L_per_ha_SE,electric_planting_MJ_per_ha_SE,diesel_harvesting_L_per_ha_ME_SE,gasoline_harvesting_L_per_ha_ME_SE,lubricants_harvesting_L_per_ha_ME_SE,harvesting_equipment_harvesting_kg_per_ha_ME_SE,diesel_harvesting_L_per_ha_MA_SE,gasoline_harvesting_L_per_ha_MA_SE,lubricants_harvesting_L_per_ha_MA_SE,harvesting_equipment_harvesting_kg_per_ha_MA_SE,diesel_hauling_L_per_ha_SE,hauling_km_SE,lubricants_hauling_L_per_ha_SE,yield_m3_dry_log_per_ha_ME_SE,yield_m3_dry_log_per_ha_MA_SE,yield_m3_dry_log_per_ha_NA_SE,yield_residue_percent_of_drylog
0,189.0,32.5,0.084,0.0,114.0,2.06,101.0,2442.0,355.2,293.0,182.04,2910.0,756.6,291.0,139.68,933.0,92.0,16.8,222.0,291.0,130,0.14979477303988997
1,547.0,97.8,0.084,,168.0,3.03,101.0,2131.2,310.8,177.6,182.04,2735.4,698.4,291.0,139.68,1220.0,,22.0,,,130,0.25177304964539005
2,,,,,,,,1820.4,266.4,133.2,182.04,2211.6,582.0,232.8,139.68,,,,,,205,0.197
3,,,,,,,,,,133.2,,,,,,,,,,,192,0.154
4,,,,,,,,,,,,,,,,,,,,,217,0.139
5,,,,,,,,,,,,,,,,,,,,,238,0.136
6,,,,,,,,,,,,,,,,,,,,,259,0.132
7,,,,,,,,,,,,,,,,,,,,,325,0.137
8,,,,,,,,,,,,,,,,,,,,,391,0.132
9,,,,,,,,,,,,,,,,,,,,,394,0.128
10,,,,,,,,,,,,,,,,,,,,,441,0.124
11,,,,,,,,,,,,,,,,,,,,,486,0.118
12,,,,,,,,,,,,,,,,,,,,,489,0.154
13,,,,,,,,,,,,,,,,,,,,,491,0.14
14,,,,,,,,,,,,,,,,,,,,,520,0.103
15,,,,,,,,,,,,,,,,,,,,,572,0.134
16,,,,,,,,,,,,,,,,,,,,,574,
17,,,,,,,,,,,,,,,,,,,,,576,
18,,,,,,,,,,,,,,,,,,,,,579,
19,,,,,,,,,,,,,,,,,,,,,613,
20,,,,,,,,,,,,,,,,,,,,,690,
21,,,,,,,,,,,,,,,,,,,,,691,
22,,,,,,,,,,,,,,,,,,,,,745,
23,,,,,,,,,,,,,,,,,,,,,234,
24,,,,,,,,,,,,,,,,,,,,,248,
25,,,,,,,,,,,,,,,,,,,,,289,
26,,,,,,,,,,,,,,,,,,,,,301,
27,,,,,,,,,,,,,,,,,,,,,323,
28,,,,,,,,,,,,,,,,,,,,,335,
29,,,,,,,,,,,,,,,,,,,,,338,
30,,,,,,,,,,,,,,,,,,,,,376,
31,,,,,,,,,,,,,,,,,,,,,272,
32,,,,,,,,,,,,,,,,,,,,,299,
33,,,,,,,,,,,,,,,,,,,,,321,
34,,,,,,,,,,,,,,,,,,,,,326,
35,,,,,,,,,,,,,,,,,,,,,341,
36,,,,,,,,,,,,,,,,,,,,,342,
37,,,,,,,,,,,,,,,,,,,,,354,
38,,,,,,,,,,,,,,,,,,,,,417,
39,,,,,,,,,,,,,,,,,,,,,425,
40,,,,,,,,,,,,,,,,,,,,,434,
41,,,,,,,,,,,,,,,,,,,,,458,
42,,,,,,,,,,,,,,,,,,,,,512,
43,,,,,,,,,,,,,,,,,,,,,520,
44,,,,,,,,,,,,,,,,,,,,,526,
45,,,,,,,,,,,,,,,,,,,,,560,
46,,,,,,,,,,,,,,,,,,,,,606,
47,,,,,,,,,,,,,,,,,,,,,620,
48,,,,,,,,,,,,,,,,,,,,,623,
49,,,,,,,,,,,,,,,,,,,,,641,
50,,,,,,,,,,,,,,,,,,,,,725,
51,,,,,,,,,,,,,,,,,,,,,732,
52,,,,,,,,,,,,,,,,,,,,,747,
53,,,,,,,,,,,,,,,,,,,,,764,
54,,,,,,,,,,,,,,,,,,,,,327,
55,,,,,,,,,,,,,,,,,,,,,328,
56,,,,,,,,,,,,,,,,,,,,,332,
57,,,,,,,,,,,,,,,,,,,,,334,
58,,,,,,,,,,,,,,,,,,,,,359,
59,,,,,,,,,,,,,,,,,,,,,407,
60,,,,,,,,,,,,,,,,,,,,,420,
61,,,,,,,,,,,,,,,,,,,,,445,
62,,,,,,,,,,,,,,,,,,,,,497,
63,,,,,,,,,,,,,,,,,,,,,501,
64,,,,,,,,,,,,,,,,,,,,,506,
65,,,,,,,,,,,,,,,,,,,,,541,
66,,,,,,,,,,,,,,,,,,,,,596,
67,,,,,,,,,,,,,,,,,,,,,621,
68,,,,,,,,,,,,,,,,,,,,,623,
69,,,,,,,,,,,,,,,,,,,,,638,
70,,,,,,,,,,,,,,,,,,,,,738,
71,,,,,,,,,,,,,,,,,,,,,746,
72,,,,,,,,,,,,,,,,,,,,,754,
73,,,,,,,,,,,,,,,,,,,,,769,
