,logs_2_sawmill,lumber_2_clt,resin_n_hardender,sources_CLT_wood,clt_2_const,product_name
0,108.0,272.0,365.0,(PNW),,CLT
1,,,782.0,(PNW),,CLT
2,208.37010885554574,,1186.6028708133972,(CAN-BC),,CLT
3,,129.0,854.7619047619047,(CAN-Q),,CLT
4,,530.0,,(CAN-Q),,CLT
5,,429.24242424242425,3640.7407407407404,(CAN-BC),,CLT
6,,440.0,,(PNW),322.0,CLT
7,,91.0,,(PNW),104.0,CLT
8,,206.0,,(PNW),,CLT
9,,174.0,,(PNW),,CLT
10,,431.0,,(PNW),,CLT
11,,21.0,,(PNW),,CLT
12,,330.0,,(PNW),,CLT
13,,302.0,,(PNW),,CLT
14,,284.0,,(PNW),,CLT
15,,76.0,,(PNW),,CLT
16,,182.71503442606104,313.2137030995106,(PNW),,Glulam
17,,88.54862467029767,,(PNW),,Glulam
18,,173.0,224.0,(PNW),,Glulam
19,,292.12470715444226,,(PNW),,Glulam
20,,304.55938006848083,,(SE),,Glulam
21,,305.298251937286,,(SE),,Glulam
22,162.07655446707207,,1186.6028708133972,(CAN-BC),,Glulam
23,,530.1607142857143,,(SE),,Glulam
24,96.5606,120.701,363.712,(PNW),,LVL
25,120.701,,,(PNW),,LVL
26,156.106,83.69,188.156,(SE),,LVL
27,246.23,,,(SE),,LVL
28,96.5606,120.701,363.712,(PNW),,LVL
29,120.701,,,(PNW),,LVL
30,156.106,83.69,188.156,(SE),,LVL
31,246.23,,,(SE),,LVL
32,96.5606,120.701,363.712,(PNW),,LVL
33,120.701,,,(PNW),,LVL
34,,108.0,79.0,(PNW),,LVL
35,,392.0,271.0,(SE),,LVL
36,104.0,108.0,79.0,(PNW),,LVL
37,156.0,84.0,79.0,(SE),,LVL
38,100.0,392.0,271.0,(SE),,LVL
39,100.0,392.0,271.0,(SE),,LVL
40,113.0,,,(PNW),,Lumber
41,113.0,,,(PNW),,Lumber
42,108.0,,,(PNW),,Lumber
43,108.0,,,(PNW),,Lumber
44,108.0,,,(PNW),,Lumber
45,92.0,,,(SE),,Lumber
46,94.0,,,(SE),,Lumber
47,92.0,,,(SE),,Lumber
48,94.0,,,(SE),,Lumber
49,94.0,,,(SE),,Lumber
50,192.26638023630505,,,(SE),,Lumber
51,108.0,,,(NE),,Lumber
52,109.0,,,(NE),,Lumber
53,109.0,,,(NE),,Lumber
54,103.37,,,(NE),,Lumber
55,129.0,,,(PNW),,Lumber
56,129.0,,,(PNW),,Lumber
57,129.0,,,(PNW),,Lumber
58,88.38610529330683,,,(PNW),,Lumber
59,117.37781382716946,,,(PNW),,Lumber
60,163.74792000610637,,,(PNW),,Lumber
61,60.4,,,(SE),,Lumber_Hardwood
62,139.0,,,(SE),,Lumber_Hardwood
63,125.0,,,(SE),,Lumber_Hardwood
64,100.15450643776823,,,(NE),,Lumber_Hardwood
65,118.0,,,(NE),,Lumber_Hardwood
